Price,US
Ticker,
Date,
1970-01-02,93.0
1970-01-05,93.45999908447266
1970-01-06,92.81999969482422
1970-01-07,92.62999725341795
1970-01-08,92.68000030517578
1970-01-09,92.4000015258789
1970-01-12,91.6999969482422
1970-01-13,91.91999816894533
1970-01-14,91.6500015258789
1970-01-15,91.68000030517578
1970-01-16,90.91999816894533
1970-01-19,89.6500015258789
1970-01-20,89.83000183105469
1970-01-21,89.94999694824219
1970-01-22,90.04000091552734
1970-01-23,89.37000274658203
1970-01-26,88.16999816894531
1970-01-27,87.62000274658203
1970-01-28,86.79000091552734
1970-01-29,85.69000244140625
1970-01-30,85.0199966430664
1970-02-02,85.75
1970-02-03,86.7699966430664
1970-02-04,86.23999786376953
1970-02-05,85.9000015258789
1970-02-06,86.33000183105469
1970-02-09,87.01000213623047
1970-02-10,86.0999984741211
1970-02-11,86.94000244140625
1970-02-12,86.7300033569336
1970-02-13,86.54000091552734
1970-02-16,86.47000122070312
1970-02-17,86.37000274658203
1970-02-18,87.44000244140625
1970-02-19,87.76000213623047
1970-02-20,88.02999877929688
1970-02-24,87.98999786376953
1970-02-25,89.3499984741211
1970-02-26,88.9000015258789
1970-02-27,89.5
1970-03-02,89.70999908447266
1970-03-03,90.2300033569336
1970-03-04,90.04000091552734
1970-03-05,90.0
1970-03-06,89.44000244140625
1970-03-09,88.51000213623047
1970-03-10,88.75
1970-03-11,88.69000244140625
1970-03-12,88.33000183105469
1970-03-13,87.86000061035156
1970-03-16,86.91000366210938
1970-03-17,87.29000091552734
1970-03-18,87.54000091552734
1970-03-19,87.41999816894531
1970-03-20,87.05999755859375
1970-03-23,86.98999786376953
1970-03-24,87.9800033569336
1970-03-25,89.7699966430664
1970-03-26,89.91999816894531
1970-03-30,89.62999725341797
1970-03-31,89.62999725341797
1970-04-01,90.06999969482422
1970-04-02,89.79000091552734
1970-04-03,89.38999938964844
1970-04-06,88.76000213623047
1970-04-07,88.5199966430664
1970-04-08,88.48999786376953
1970-04-09,88.52999877929688
1970-04-10,88.23999786376953
1970-04-13,87.63999938964844
1970-04-14,86.88999938964844
1970-04-15,86.7300033569336
1970-04-16,85.87999725341797
1970-04-17,85.66999816894531
1970-04-20,85.83000183105469
1970-04-21,85.37999725341797
1970-04-22,84.2699966430664
1970-04-23,83.04000091552734
1970-04-24,82.7699966430664
1970-04-27,81.45999908447266
1970-04-28,80.2699966430664
1970-04-29,81.80999755859375
1970-04-30,81.5199966430664
1970-05-01,81.44000244140625
1970-05-04,79.37000274658203
1970-05-05,78.5999984741211
1970-05-06,79.47000122070312
1970-05-07,79.83000183105469
1970-05-08,79.44000244140625
1970-05-11,78.5999984741211
1970-05-12,77.8499984741211
1970-05-13,76.52999877929688
1970-05-14,75.44000244140625
1970-05-15,76.9000015258789
1970-05-18,76.95999908447266
1970-05-19,75.45999908447266
1970-05-20,73.5199966430664
1970-05-21,72.16000366210938
1970-05-22,72.25
1970-05-25,70.25
1970-05-26,69.29000091552734
1970-05-27,72.7699966430664
1970-05-28,74.61000061035156
1970-05-29,76.55000305175781
1970-06-01,77.83999633789062
1970-06-02,77.83999633789062
1970-06-03,78.5199966430664
1970-06-04,77.36000061035156
1970-06-05,76.16999816894531
1970-06-08,76.29000091552734
1970-06-09,76.25
1970-06-10,75.4800033569336
1970-06-11,74.44999694824219
1970-06-12,73.87999725341797
1970-06-15,74.58000183105469
1970-06-16,76.1500015258789
1970-06-17,76.0
1970-06-18,76.51000213623047
1970-06-19,77.05000305175781
1970-06-22,76.63999938964844
1970-06-23,74.76000213623047
1970-06-24,73.97000122070312
1970-06-25,74.0199966430664
1970-06-26,73.47000122070312
1970-06-29,72.88999938964844
1970-06-30,72.72000122070312
1970-07-01,72.94000244140625
1970-07-02,72.91999816894531
1970-07-06,71.77999877929688
1970-07-07,71.2300033569336
1970-07-08,73.0
1970-07-09,74.05999755859375
1970-07-10,74.44999694824219
1970-07-13,74.55000305175781
1970-07-14,74.41999816894531
1970-07-15,75.2300033569336
1970-07-16,76.33999633789062
1970-07-17,77.69000244140625
1970-07-20,77.79000091552734
1970-07-21,76.9800033569336
1970-07-22,77.02999877929688
1970-07-23,78.0
1970-07-24,77.81999969482422
1970-07-27,77.6500015258789
1970-07-28,77.7699966430664
1970-07-29,78.04000091552734
1970-07-30,78.06999969482422
1970-07-31,78.05000305175781
1970-08-03,77.0199966430664
1970-08-04,77.19000244140625
1970-08-05,77.18000030517578
1970-08-06,77.08000183105469
1970-08-07,77.27999877929688
1970-08-10,76.19999694824219
1970-08-11,75.81999969482422
1970-08-12,75.41999816894531
1970-08-13,74.76000213623047
1970-08-14,75.18000030517578
1970-08-17,75.33000183105469
1970-08-18,76.19999694824219
1970-08-19,76.95999908447266
1970-08-20,77.83999633789062
1970-08-21,79.23999786376953
1970-08-24,80.98999786376953
1970-08-25,81.12000274658203
1970-08-26,81.20999908447266
1970-08-27,81.08000183105469
1970-08-28,81.86000061035156
1970-08-31,81.5199966430664
1970-09-01,80.94999694824219
1970-09-02,80.95999908447266
1970-09-03,82.08999633789062
1970-09-04,82.83000183105469
1970-09-08,83.04000091552734
1970-09-09,82.79000091552734
1970-09-10,82.30000305175781
1970-09-11,82.5199966430664
1970-09-14,82.06999969482422
1970-09-15,81.36000061035156
1970-09-16,81.79000091552734
1970-09-17,82.29000091552734
1970-09-18,82.62000274658203
1970-09-21,81.91000366210938
1970-09-22,81.86000061035156
1970-09-23,81.91000366210938
1970-09-24,81.66000366210938
1970-09-25,82.83000183105469
1970-09-28,83.91000366210938
1970-09-29,83.86000061035156
1970-09-30,84.30000305175781
1970-10-01,84.31999969482422
1970-10-02,85.16000366210938
1970-10-05,86.47000122070312
1970-10-06,86.8499984741211
1970-10-07,86.88999938964844
1970-10-08,85.94999694824219
1970-10-09,85.08000183105469
1970-10-12,84.16999816894531
1970-10-13,84.05999755859375
1970-10-14,84.19000244140625
1970-10-15,84.6500015258789
1970-10-16,84.27999877929688
1970-10-19,83.1500015258789
1970-10-20,83.63999938964844
1970-10-21,83.66000366210938
1970-10-22,83.37999725341797
1970-10-23,83.7699966430664
1970-10-26,83.30999755859375
1970-10-27,83.12000274658203
1970-10-28,83.43000030517578
1970-10-29,83.36000061035156
1970-10-30,83.25
1970-11-02,83.51000213623047
1970-11-03,84.22000122070312
1970-11-04,84.38999938964844
1970-11-05,84.0999984741211
1970-11-06,84.22000122070312
1970-11-09,84.66999816894531
1970-11-10,84.79000091552734
1970-11-11,85.02999877929688
1970-11-12,84.1500015258789
1970-11-13,83.37000274658203
1970-11-16,83.23999786376953
1970-11-17,83.47000122070312
1970-11-18,82.79000091552734
1970-11-19,82.91000366210938
1970-11-20,83.72000122070312
