Start_Year,Net_ROIC_Percent
1950,100.95844735286335
1951,131.78963508217007
1952,93.85318808532986
1953,107.59524970874601
1954,125.11559527247822
1955,112.33951129909951
1956,154.07425773301492
1957,177.62937680023984
1958,167.64819964672603
1959,183.97199288298197
1960,244.4132491462666
1961,205.70798144922446
1962,267.9250029009495
1963,265.0784444477943
1964,271.5529294749775
1965,250.8376621582438
1966,350.75568302845573
1967,415.9700440512977
1968,544.3792568886847
1969,681.5175652678315
1970,786.0709514943462
1971,645.6556829058304
1972,511.5421972192875
1973,345.9091299570444
1974,432.4922330333025
1975,433.68505081038285
1976,405.4882936499763
1977,430.8885331758535
1978,403.0416349495927
1979,180.68552822942704
1980,214.60628922007206
1981,222.76968126662834
1982,193.50573627801572
1983,195.72989236386914
1984,248.41763154992194
1985,250.08404086209688
1986,212.48752444105529
1987,215.06833310189225
1988,248.07079142376503
1989,198.42623680977542
1990,254.56567836969327
1991,278.9002218037488
1992,342.22465510344165
1993,228.6588139483508
1994,276.59430646751434
1995,326.4600039605965
